From,To,Profile,Category,TollCost
1094,CiboVita,T1,1,48.88
1094,Congressional,T1,1,68
1094,DOT,T1,1,35
1094,FLEX1,T1,1,44
1094,FLEX2,T1,1,44
1094,FLEX3,T1,1,44
1094,LASSONDE,T1,1,0
1094,ONEBANANA,T1,1,37.5
1094,PREMIO,T1,1,54.85
1094,PREMIUMWATER,T1,1,61.5
1094,Purina Allentown,T1,1,37.5
1094,Purina Mechanicsburg,T1,1,37.5
1094,Standby(Overspill),T1,1,44
1094,TONU,T1,1,44
1094,TONULate,T1,1,44
1094,US0007,T1,1,44
1096,1023,T1,1,26
1096,1035,T1,1,0
1096,1081,T1,1,0
1096,1091,T1,1,0
1096,1094,T1,1,17
1096,1096,T1,1,0
1096,1119,T1,1,0
1096,1129,T1,1,27
1096,1134,T1,1,0
1096,1138,T1,1,0
1096,1162,T1,1,17
1096,1166,T1,1,22.25
1096,1176,T1,1,0
1096,1177,T1,1,0
1096,1203,T1,1,17
1096,1246,T1,1,0
1096,1250,T1,1,0
1096,1342,T1,1,0
1096,1352,T1,1,0
1096,1372,T1,1,102.42
1096,1407,T1,1,26
1096,1410,T1,1,16.79
1096,1411,T1,1,0
1096,1414,T1,1,0
1096,1423,T1,1,0
1096,1425,T1,1,0
1096,1429,T1,1,0
1096,1431,T1,1,17
1096,1433,T1,1,0
1096,1434,T1,1,0
1096,1440,T1,1,0
1096,1442,T1,1,0
1096,1443,T1,1,8.71
1096,1448,T1,1,0
1096,1449,T1,1,10.87
1096,1454,T1,1,0
1096,1463,T1,1,33
1096,1467,T1,1,0
1096,1473,T1,1,144.12
1096,1482,T1,1,0
1096,1484,T1,1,0
1096,1499,T1,1,144.12
1096,1503,T1,1,144.12
1096,1506,T1,1,17
1096,1507,T1,1,55.77
1096,1516,T1,1,0
1096,1527,T1,1,0
1096,1531,T1,1,144.12
1096,1545,T1,1,0
1096,1559,T1,1,144.12
1096,1561,T1,1,134.75
1096,1564,T1,1,144.12
1096,1566,T1,1,0
1096,1567,T1,1,111.79
1096,1571,T1,1,144.12
1096,1572,T1,1,144.12
1096,1574,T1,1,144.12
1096,1576,T1,1,144.12
1096,1579,T1,1,144.12
1096,1580,T1,1,144.12
1096,1581,T1,1,16.79
1096,1590,T1,1,144.12
1096,1592,T1,1,144.12
1096,48FORTY,T1,1,0
1096,8001,T1,1,144.12
1096,8002,T1,1,144.12
1096,8003,T1,1,144.12
1096,8004,T1,1,144.12
1096,8006,T1,1,144.12
1096,8007,T1,1,144.12
1096,8008,T1,1,144.12
1096,8009,T1,1,144.12
1096,8011,T1,1,144.12
1096,8012,T1,1,144.12
1096,8013,T1,1,144.12
1096,8014,T1,1,144.12
1096,8015,T1,1,144.12
1096,8017,T1,1,144.12
1096,8018,T1,1,144.12
1096,8019,T1,1,144.12
1096,8020,T1,1,144.12
1096,8021,T1,1,144.12
1096,8023,T1,1,144.12
1096,8024,T1,1,144.12
1096,8025,T1,1,144.12
1096,8026,T1,1,144.12
1096,90005,T1,1,0
1096,90006,T1,1,0
1096,AMAZON,T1,1,17
1096,AVA,T1,1,144.12
1096,BAKKAFROST,T1,1,0
1096,CancelDuetoHours,T1,1,26
1096,CarrierCancel,T1,1,26
1096,CarrierLateCancel,T1,1,26
1096,CHEP,T1,1,0
1096,CiboVita,T1,1,0
1096,Congressional,T1,1,0
1096,DOT,T1,1,17
1096,FLEX1,T1,1,26
1096,FLEX2,T1,1,26
1096,FLEX3,T1,1,26
1096,LASSONDE,T1,1,17
1096,ONEBANANA,T1,1,17
1096,PREMIO,T1,1,0
1096,PREMIUMWATER,T1,1,0
1096,Purina Allentown,T1,1,0
1096,Purina Mechanicsburg,T1,1,0
1096,Standby(Overspill),T1,1,26
1096,TONU,T1,1,26
1096,TONULate,T1,1,26
1096,US0007,T1,1,26
1119,1023,T1,1,31.5
1119,1035,T1,1,22.5
1119,1081,T1,1,22.5
1119,1091,T1,1,0
1119,1094,T1,1,0
1119,1096,T1,1,22.5
1119,1119,T1,1,0
1119,1129,T1,1,32.5
1119,1134,T1,1,0
1119,1138,T1,1,22.5
1119,1162,T1,1,0
1119,1166,T1,1,27.75
1119,1176,T1,1,0
1119,1177,T1,1,0
1119,1203,T1,1,22.5
1119,1246,T1,1,22.5
1119,1250,T1,1,22.5
1119,1342,T1,1,18.13
1119,1352,T1,1,22.5
1119,1372,T1,1,102.42
1119,1407,T1,1,31.5
1119,1410,T1,1,16.79
1119,1411,T1,1,22.5
1119,1414,T1,1,0
1119,1423,T1,1,0
1119,1425,T1,1,0
1119,1429,T1,1,0
1119,1431,T1,1,0
1119,1433,T1,1,0
1119,1434,T1,1,0
1119,1440,T1,1,0
1119,1442,T1,1,22.5
1119,1443,T1,1,8.71
1119,1448,T1,1,16.79
1119,1449,T1,1,10.87
1119,1454,T1,1,0
1119,1463,T1,1,9.79
1119,1467,T1,1,0
1119,1473,T1,1,144.12
1119,1482,T1,1,0
1119,1484,T1,1,39.5
1119,1499,T1,1,144.12
1119,1503,T1,1,144.12
1119,1506,T1,1,22.5
1119,1507,T1,1,115.83
1119,1516,T1,1,22.5
1119,1527,T1,1,0
1119,1531,T1,1,144.12
1119,1545,T1,1,0
1119,1559,T1,1,144.12
1119,1561,T1,1,134.75
1119,1564,T1,1,144.12
1119,1566,T1,1,22.5
1119,1567,T1,1,111.79
1119,1571,T1,1,144.12
1119,1572,T1,1,144.12
1119,1574,T1,1,144.12
1119,1576,T1,1,144.12
1119,1579,T1,1,144.12
1119,1580,T1,1,144.12
1119,1581,T1,1,16.79
1119,1590,T1,1,144.12
1119,1592,T1,1,144.12
1119,48FORTY,T1,1,22.5
1119,8001,T1,1,144.12
1119,8002,T1,1,144.12
1119,8003,T1,1,144.12
1119,8004,T1,1,144.12
1119,8006,T1,1,144.12
1119,8007,T1,1,144.12
1119,8008,T1,1,144.12
1119,8009,T1,1,144.12
1119,8011,T1,1,144.12
1119,8012,T1,1,144.12
1119,8013,T1,1,144.12
1119,8014,T1,1,144.12
1119,8015,T1,1,144.12
1119,8017,T1,1,144.12
1119,8018,T1,1,144.12
1119,8019,T1,1,144.12
1119,8020,T1,1,144.12
1119,8021,T1,1,144.12
1119,8023,T1,1,144.12
1119,8024,T1,1,144.12
1119,8025,T1,1,144.12
1119,8026,T1,1,144.12
1119,90005,T1,1,55.5
1119,90006,T1,1,55.5
1119,AMAZON,T1,1,0
1119,AVA,T1,1,144.12
1119,BAKKAFROST,T1,1,0
1119,CancelDuetoHours,T1,1,31.5
1119,CarrierCancel,T1,1,31.5
1119,CarrierLateCancel,T1,1,31.5
1119,CHEP,T1,1,22.5
1119,CiboVita,T1,1,0
1119,Congressional,T1,1,55.5
1119,DOT,T1,1,22.5
1119,FLEX1,T1,1,31.5
1119,FLEX2,T1,1,31.5
1119,FLEX3,T1,1,31.5
1119,LASSONDE,T1,1,26.27
1119,ONEBANANA,T1,1,22.5
1119,PREMIO,T1,1,0
1119,PREMIUMWATER,T1,1,22.5
1119,Purina Allentown,T1,1,22.5
1119,Purina Mechanicsburg,T1,1,22.5
1119,Standby(Overspill),T1,1,31.5
1119,TONU,T1,1,31.5
1119,TONULate,T1,1,31.5
1119,US0007,T1,1,31.5
1129,1023,T1,1,19
1129,1035,T1,1,10
1129,1081,T1,1,10
1129,1091,T1,1,10
1129,1094,T1,1,10
1129,1096,T1,1,27
1129,1119,T1,1,55.48
1129,1129,T1,1,0
1129,1134,T1,1,43.63
1129,1138,T1,1,10
1129,1162,T1,1,10
1129,1166,T1,1,15.25
1129,1176,T1,1,10
1129,1177,T1,1,23.25
1129,1203,T1,1,10
1129,1246,T1,1,10
1129,1250,T1,1,10
1129,1342,T1,1,10
1129,1352,T1,1,10
1129,1372,T1,1,150.48
1129,1407,T1,1,19
1129,1410,T1,1,73.66
1129,1411,T1,1,17.7
1129,1414,T1,1,10
1129,1423,T1,1,10
1129,1425,T1,1,10
1129,1429,T1,1,10
1129,1431,T1,1,14.85
1129,1433,T1,1,55.48
1129,1434,T1,1,10
1129,1440,T1,1,72.68
1129,1442,T1,1,18.9
1129,1443,T1,1,70.88
